Orden,Sitios,Gobierno_local,codigo,Fecha,Mes,Año,Año-mes,Campaña-Año,Campaña,Tem_agua,Tem_aire,OD,pH,Turbiedad_NTU,Olores,Color,Espumas,Mat_susp,colif_totales_ufc_100ml,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,Nitrato_mg_l,NH4_mg_l,P_de_ortof_mg_l,P_total_l_mg_l,DQO_mg_l,DBO_mg_l,Fosf_ortofos_mg_l,solidos_totales_mg_l,Hidr_Deriv_Petr_ug_l,Cr_total_mg_l,Cd_total_mg_l,Microcistina_ug_l,Clorofila_a_ug_l,ICA,Calidad_de_agua
35,ARROYO DEL GATO,Ensenada,EN083,07/08/2019,8,2019,08-2019,03-2019,invierno,13,4,0,8,67,ausencia,ausencia,ausencia,ausencia,11800,0,9000,2800,6,5,0,0,74,12,0,,50,0.006,0.002,0.5,10,39,Extremadamente deteriorada
39,Playa La Bagliardi,Berisso,BS091,15/08/2018,8,2018,08-2018,03-2018,invierno,11,0,9,7,45,ausencia,ausencia,presencia,presencia,40000,0,12800,4600,7,5,1,0.9,58,14,0,,87,5,1,0.5,10,33,Muy deteriorada
30,Berazategui – Calle 11 y costa y salida cloaca (BZ 078),Berazategui,BZ078,23/08/2022,8,2022,08-2022,03-2022,invierno,11,17,10,6,10,ausencia,ausencia,ausencia,ausencia,100000,0,13,2,9,5,0,1,30,14,1,,0,64,0.001,0.15,1400,33,Extremadamente deteriorada
40,Playa La Bagliardi,Berisso,BS091,23/08/2022,8,2022,08-2022,03-2022,invierno,10,12,0,8,25,ausencia,ausencia,ausencia,ausencia,9000,0,2,570,16,5,0,1,30,,1,,0,0.005,0.001,0.15,1730,38,Extremadamente deteriorada
14,Perú Puente,San Isidro,SI023,19/05/2021,5,2021,05-2021,02-2021,otoño,18,17,3,7,30,ausencia,ausencia,ausencia,ausencia,15000,0,12000,2000,22,5,0,1,6,4,1,,7,100,0.005,10,0,38,Extremadamente deteriorada
91,ARROYO SARANDI,Avellaneda,AV052,27/08/2014,8,2014,08-2014,03-2014,invierno,0.00,14.90,6.36,7.80,0,,,,,1100,240,1500,,23,5,0,0,28,,0,,,,,,,0,
14,Perú Puente,San Isidro,SI023,03/08/2017,8,2017,08-2017,03-2017,verano,23.8,0,4.45,7.61,0,,,,,140000,30000,28000,,26.25,5,0,0,21,3,0,,,,,,,0,
153,Reserva Barrio El Ceibo,Vicente Lopez,VL033,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,21.30,7.80,7.85,0,,,,,9300,9300,300,,13.1,4.3,0,0,45,,0,,,,,,,0,
3,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,31/05/2017,5,2017,05-2017,02-2017,otoño,0,0,8.31,7.12,0,,,,,37000,20000,5800,,3.99,4.3,0,0,48,15,0,,,,,,,0,
85,Perú Puente,San Isidro,SI023,27/08/2014,8,2014,08-2014,03-2014,invierno,17.80,13.00,3.60,7.84,0,,,,,150,700,700,,25,4.1,0,0,20,,0,,,,,,,0,
92,ARROYO SANTO DOMINGO,Avellaneda,AV053,27/08/2014,8,2014,08-2014,03-2014,invierno,13.50,14.50,5.77,7.80,0,,,,,210,9300,900,,2,4,0,0,23,,0,,,,,,,0,
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,4/11/2020,11,2020,11-2020,04-2020,primavera,22,17,2,7,55,ausencia,ausencia,ausencia,ausencia,0,0,7500,,2,4,0,1,0,15,0,,50,0.006,0.002,0,10,45,Muy deteriorada
14,Perú Puente,San Isidro,SI023,24/02/2021,2,2021,02-2021,01-2021,verano,28,28,4,8,5,ausencia,ausencia,ausencia,presencia,40000,0,37000,4800,3,4,0,1,30,5,1,,100,5,0.001,0.15,0,33,Extremadamente deteriorada
3,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,19/05/2021,5,2021,05-2021,02-2021,otoño,16,13,5,7,30,ausencia,ausencia,ausencia,ausencia,80000,0,60000,5600,3,4,0,1,6,5,1,,70,100,0.005,10,0,36,Extremadamente deteriorada
6,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,23/02/2022,2,2022,02-2022,01-2022,verano,25,23,4,7,9,ausencia,ausencia,ausencia,presencia,3200,0,200,750,4,4,0,1,130,4,1,,100,0.005,0.001,0.2,10,40,Extremadamente deteriorada
22,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,19/05/2021,5,2021,05-2021,02-2021,otoño,17,15,4,7,36,ausencia,ausencia,ausencia,ausencia,180000,0,70000,500,4,4,0,1,15,7,1,,65,,0.005,10,0,34,Extremadamente deteriorada
36,ARROYO DEL GATO,Ensenada,EN083,27/10/2021,10,2021,10-2021,04-2021,primavera,22,27,4,8,15,ausencia,ausencia,ausencia,ausencia,6100,0,5100,660,5,4,0,0,48,12,0,,100,0.005,0.001,0.2,0,39,Extremadamente deteriorada
38,Berisso – Calle 66,Berisso,BS095,15/05/2019,5,2019,05-2019,02-2019,otoño,10,8,0,8,65,presencia,presencia,presencia,ausencia,119000,0,116000,18600,5,4,1,1,48,8,0,,50,0.006,0.002,0.5,10,34,Extremadamente deteriorada
38,Berisso – Calle 66,Berisso,BS095,15/05/2019,5,2019,05-2019,02-2019,invierno,8,9,0,8,24,presencia,presencia,presencia,presencia,247500,0,210000,41600,5,4,0,0,55,12,0,,50,0.006,0.002,0.5,10,29,Extremadamente deteriorada
37,Balneario Palo Blanco,Berisso,BS092,30/10/2019,10,2019,10-2019,04-2019,primavera,12,6,0,8,7,ausencia,ausencia,ausencia,ausencia,22200,0,10500,4200,6,4,1,1,37,5,0,,49,0.006,0.002,0.5,12.2,39,Extremadamente deteriorada
35,ARROYO DEL GATO,Ensenada,EN083,30/10/2019,10,2019,10-2019,04-2019,primavera,20,5,0,8,24,ausencia,ausencia,ausencia,ausencia,19400,0,14900,3850,6,4,0,0,17,8,0,,49,0.006,0.002,0.5,10,41,Extremadamente deteriorada
40,Berisso - La Municipal,Berisso,BS094,30/10/2019,10,2019,10-2019,04-2019,primavera,13,5,0,8,8,ausencia,ausencia,ausencia,ausencia,21400,0,19400,4900,7,4,1,1,33,8,0,,49,0.006,0.002,0.5,11.2,39,Extremadamente deteriorada
35,ARROYO DEL GATO,Ensenada,EN083,19/05/2021,5,2021,05-2021,02-2021,otoño,15,11,4,8,30,ausencia,ausencia,ausencia,ausencia,10000,0,2800,1600,7,4,0,0,12,4,0,,16,100,0.005,10,0,38,Extremadamente deteriorada
41,Berisso - La Balandra,Berisso,BS093,30/10/2019,10,2019,10-2019,04-2019,primavera,12,6,0,8,6,ausencia,ausencia,ausencia,ausencia,29200,0,18500,4100,8,4,1,1,17,5,0,,49,0.006,0.002,0.5,10,41,Extremadamente deteriorada
28,NAUTICO,Quilmes,QU062,23/08/2022,8,2022,08-2022,03-2022,invierno,14,14,6,7,17,presencia,ausencia,ausencia,presencia,27000,0,430,100,8,4,0,1,30,11,0,,0,79,0.001,0.15,10,33,Extremadamente deteriorada
26,ARROYO SANTO DOMINGO,Avellaneda,AV053,23/08/2022,8,2022,08-2022,03-2022,invierno,17,14,5,8,13,ausencia,ausencia,ausencia,ausencia,92000,0,6,610,11,4,0,0,30,7,0,,0,5,0.001,0.15,310,37,Extremadamente deteriorada
27,CALLE ESPORA,Quilmes,QU061,23/08/2022,8,2022,08-2022,03-2022,invierno,14,14,6,7,8,ausencia,ausencia,ausencia,ausencia,16000,0,130,100,14,4,0,1,30,7,1,,0,69,0.001,0.15,10,42,Extremadamente deteriorada
4,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,16/08/2017,8,2017,08-2017,03-2017,invierno,14.4,0,7.89,7.55,18,,,,,85000,7800,7000,,5.32,3.9,0,0,31,22,0,255,,,,,,0,
94,COSTA DE VILLA DOMINICO,Avellaneda,AV055,27/08/2014,8,2014,08-2014,03-2014,invierno,0.00,14.60,5.72,7.70,0,,,,,1100,1100,700,,17,3.8,0,0,28,,0,,,,,,,0,
